Issue Number,Title,Description,Labels,Milestone,Epic,Effort Hours,Priority,Dependencies
1,Set Up RenPy Project Structure,Initialize RenPy project with proper directory structure for scripts/images/audio. Setup Git repo and gitignore. Create test scene to verify project launches successfully.,"setup,infrastructure",Milestone 1: Core Systems,Epic 1,2,Critical,None
2,Implement Belief System Core Classes,Create BeliefSystem Python class managing core/surface/on-mind beliefs. Implement methods: add_core_belief add_surface_belief set_on_mind clear_on_mind get_active_beliefs introspect. Support depth 1-3 introspection system.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,8,Critical,1
3,Implement Drug System Core Classes,Create base Drug class with tolerance/timing. Implement Alcohol Cannabis AlcoholCannabis Antidepressant Antipsychotic classes. Each has apply_high and apply_comedown decorator methods. DrugManager handles combinations.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,12,High,2
4,Implement Reality Shift System,Create reality shift system with 5 severity levels (catastrophic severe moderate minor harmony). Visual effects audio cues physical pain responses. Triggered by belief violations and drug use. Tracks reality_stability 0-10.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,10,Critical,2
5,Implement Introspection Mechanic,Create introspect label that pauses game. Displays violated belief and The Critical Question. Offers interpretation choices that affect awareness. Options to apologize commit to change or continue harmful path. Stabilizes or worsens reality based on choice.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,8,Critical,"2,4"
6,Implement State Management & Save System,Create player_state and npc_states dictionaries. Implement save/load with auto-save triggers. Support 10+ save slots with metadata. Ensure all state variables persist correctly.,"feature,infrastructure",Milestone 1: Core Systems,Epic 1,6,High,"2,3"
7,Implement Choice Tracking System,Create choice_record structure tracking all major choices with metadata (character involved alignment consequences). Store immediate mid-term and revelation consequences. Query functions by character and alignment.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,5,High,6
8,Implement Belief-Action Alignment Checker,Create check_belief_alignment label that calculates alignment score. Triggers positive feelings if aligned or reality shift if misaligned. Severity based on degree of violation. Can trigger harmony state.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,6,High,"2,4,5"
9,Implement NPC Belief System & Reaction Engine,NPCs have own BeliefSystem instances. Calculate emotional responses based on player actions vs NPC beliefs. Trust modified by alignment. Dialogue filtered by beliefs. NPCs can have beliefs reinforced or challenged based on openness stat.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,10,High,"2,6"
10,Implement Forgiveness System,Calculate forgiveness eligibility based on trauma_healing witnessed_change player_awareness genuine_remorse. Create forgiveness_scene template with boundary setting. One-chance-only system. Accepting unlocks redemption path.,"feature,core-mechanic",Milestone 1: Core Systems,Epic 1,8,Medium,9
